"","x"
"1","ASTRONOMICAL LOW TIDE"
"2","AVALANCHE"
"3","BLIZZARD"
"4","COASTAL FLOOD"
"5","COLD/WIND CHILL"
"6","DEBRIS FLOW"
"7","DENSE FOG"
"8","DENSE SMOKE"
"9","DROUGHT"
"10","DUST DEVIL"
"11","DUST STORM"
"12","EXCESSIVE HEAT"
"13","EXTREME COLD/WIND CHILL"
"14","FLASH FLOOD"
"15","FLOOD"
"16","FREEZING FOG"
"17","FROST/FREEZE"
"18","FUNNEL CLOUD"
"19","HAIL"
"20","HEAT"
"21","HEAVY RAIN"
"22","HEAVY SNOW"
"23","HIGH SURF"
"24","HIGH WIND"
"25","HURRICANE/TYPHOON"
"26","ICE STORM"
"27","LAKESHORE FLOOD"
"28","LAKE-EFFECT SNOW"
"29","LIGHTNING"
"30","MARINE HAIL"
"31","MARINE HIGH WIND"
"32","MARINE STRONG WIND"
"33","MARINE TSTM WIND"
"34","RIP CURRENT"
"35","SEICHE"
"36","STORM TIDE"
"37","STRONG WIND"
"38","THUNDERSTORM WIND"
"39","TORNADO"
"40","TROPICAL DEPRESSION"
"41","TROPICAL STORM"
"42","TSUNAMI"
"43","VOLCANIC ASH"
"44","WATERSPOUT"
"45","WILDFIRE"
"46","WINTER STORM"
"47","WINTER WEATHER"
